unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759744830.777,120030.777,619494.35889768,5806171.478112955,41.54,1
1759744830.98,120030.98,619494.35889768,5806171.478112955,41.54,1
1759744831.2,120031.2,619494.35889768,5806171.478112955,41.54,1
1759744831.401,120031.401,619494.35889768,5806171.478112955,41.54,1
1759744831.603,120031.603,619494.35889768,5806171.478112955,41.54,1
1759744831.806,120031.806,619494.35889768,5806171.478112955,41.54,1
1759744832.01,120032.01,619494.35889768,5806171.478112955,41.54,1
1759744832.212,120032.212,619493.6181471416,5806171.1484347535,41.54,1
1759744832.416,120032.416,619494.2039964823,5806171.194162927,41.55,1
1759744832.634,120032.634,619494.1739964823,5806171.194162927,41.55,1
1759744832.634,120032.634,619494.1919430257,5806171.230778114,41.55,1
1759744832.836,120032.836,619495.0693555182,5806170.748495383,41.55,1
1759744833.041,120033.041,619494.616202052,5806170.740906152,41.56,1
1759744833.242,120033.242,619494.3329551246,5806170.924976908,41.55,1
1759744833.445,120033.445,619494.4877921031,5806171.054523807,41.54,1
1759744833.647,120033.647,619494.9045723635,5806171.048000727,41.54,1
1759744833.865,120033.865,619495.1497339864,5806170.684257502,41.54,1
1759744834.067,120034.067,619495.1169459454,5806170.913658357,41.54,1
1759744834.269,120034.269,619494.8619863372,5806171.020744663,41.54,1
1759744834.469,120034.469,619494.7142702113,5806170.903004825,41.54,1
1759744834.672,120034.672,619493.2186574134,5806171.014806011,41.54,1
1759744834.888,120034.888,619492.3843035595,5806171.052831302,41.54,1
1759744835.091,120035.091,619492.4072856053,5806171.484133883,41.52,1
1759744835.291,120035.291,619492.7408226057,5806171.195740586,41.53,1
1759744835.493,120035.493,619492.787289207,5806171.132883217,41.53,1
1759744835.697,120035.697,619493.1943619862,5806171.205102625,41.52,1
1759744835.915,120035.915,619492.6964059029,5806171.047565762,41.51,1
1759744836.118,120036.118,619494.0716789418,5806171.202978368,41.52,1
1759744836.319,120036.319,619493.8229636868,5806171.568473361,41.53,1
1759744836.522,120036.522,619492.9187000326,5806172.522043064,41.52,1
1759744836.723,120036.723,619493.2472967907,5806173.375743056,41.52,1
1759744836.927,120036.927,619493.8288992044,5806173.757767254,41.53,1
1759744837.132,120037.132,619493.536326679,5806174.339236508,41.52,1
1759744837.347,120037.347,619492.6523355799,5806174.158128549,41.52,1
1759744837.549,120037.549,619490.7776878432,5806173.854447085,41.52,1
1759744837.753,120037.753,619489.8215079996,5806173.241259088,41.53,1
1759744837.957,120037.957,619489.5967845429,5806173.061259548,41.53,1
1759744838.158,120038.158,619488.4963988237,5806173.435218416,41.53,1
1759744838.374,120038.374,619486.245034437,5806173.13100741,41.51,1
1759744838.577,120038.577,619486.9837621395,5806172.26614716,41.55,1
1759744838.779,120038.779,619487.9200415299,5806172.807099346,41.55,1
1759744838.981,120038.981,619487.206052992,5806173.920660901,41.55,1
1759744839.183,120039.183,619488.210043791,5806174.218933056,41.54,1
1759744839.387,120039.387,619487.0872975712,5806173.660540676,41.57,1
1759744839.603,120039.603,619488.8194025035,5806173.361248125,41.56,1
1759744839.806,120039.806,619488.6302789646,5806173.47211697,41.56,1
1759744840.009,120040.009,619488.4902789647,5806173.462116971,41.56,1
1759744840.209,120040.209,619488.3076320579,5806172.912555743,41.58,1
1759744840.413,120040.413,619487.9615638523,5806172.484773009,41.56,1
1759744840.628,120040.628,619487.7715638523,5806172.494773009,41.57,1
1759744840.832,120040.832,619487.6315638523,5806172.444773009,41.59,1
1759744840.832,120040.832,619487.5839986374,5806171.804416568,41.59,1
1759744841.031,120041.031,619488.5868052797,5806173.198972486,41.59,1
1759744841.232,120041.232,619488.7459302545,5806172.539331194,41.58,1
1759744841.436,120041.436,619488.068436751,5806170.795818993,41.59,1
1759744841.654,120041.654,619489.1604919055,5806170.87402731,41.6,1
1759744841.858,120041.858,619488.3759436886,5806172.145165748,41.6,1
1759744842.062,120042.062,619488.8191131714,5806172.174833509,41.61,1
1759744842.266,120042.266,619489.2103160031,5806171.760973176,41.57,1
1759744842.468,120042.468,619489.2896130033,5806171.639579361,41.6,1
1759744842.669,120042.669,619491.1844455223,5806172.099498856,41.6,1
1759744842.872,120042.872,619491.16,5806171.87,41.6,1
1759744843.09,120043.09,619491.0957546064,5806171.828672897,41.61,1
1759744843.292,120043.292,619491.2833415156,5806172.166767841,41.6,1
1759744843.495,120043.495,619491.7582434561,5806171.323827144,41.6,1
1759744843.698,120043.698,619491.5997814811,5806171.118561759,41.59,1
1759744843.899,120043.899,619488.6761311623,5806170.869242226,41.6,1
