unix_time,time_s,cable_easting_m,cable_northing_m,cable_height_m,cable_lock
1759745757.031,121557.031,619517.9821017687,5806171.523394859,41.47,1
1759745757.235,121557.235,619517.9821017687,5806171.523394859,41.47,1
1759745757.451,121557.451,619517.9821017687,5806171.523394859,41.47,1
1759745757.655,121557.655,619517.9821017687,5806171.523394859,41.47,1
1759745757.857,121557.857,619517.9821017687,5806171.523394859,41.47,1
1759745758.06,121558.06,619517.9821017687,5806171.523394859,41.47,1
1759745758.263,121558.263,619517.9821017687,5806171.523394859,41.47,1
1759745758.465,121558.465,619517.9821017687,5806171.523394859,41.47,1
1759745758.682,121558.682,619517.9821017687,5806171.523394859,41.47,1
1759745758.883,121558.883,619517.9821017687,5806171.523394859,41.47,1
1759745759.085,121559.085,619517.9821017687,5806171.523394859,41.47,1
1759745759.288,121559.288,619513.5327993263,5806172.290744004,41.47,1
1759745759.491,121559.491,619512.0610377202,5806172.788779385,41.47,1
1759745759.694,121559.694,619512.8971224604,5806172.390038949,41.46,1
1759745759.912,121559.912,619512.65881834,5806171.773387258,41.47,1
1759745760.115,121600.115,619512.5287152159,5806171.7084201,41.48,1
1759745760.317,121600.317,619511.6861377219,5806171.95971342,41.48,1
1759745760.519,121600.519,619512.4951098821,5806172.156339075,41.48,1
1759745760.721,121600.721,619512.8695115965,5806171.940593518,41.47,1
1759745760.937,121600.937,619514.0914941711,5806171.674331776,41.47,1
1759745761.138,121601.138,619514.7486264808,5806171.541971955,41.47,1
1759745761.339,121601.339,619514.0529836332,5806171.320252379,41.49,1
1759745761.539,121601.539,619514.6712352969,5806171.741066518,41.5,1
1759745761.539,121601.539,619512.2949339785,5806171.914768432,41.5,1
1759745761.757,121601.757,619512.2361402162,5806170.742610269,41.49,1
1759745761.96,121601.96,619511.9798810744,5806172.119311255,41.46,1
1759745762.163,121602.163,619510.8838119528,5806172.868815936,41.5,1
1759745762.367,121602.367,619511.7205682097,5806171.501478693,41.5,1
1759745762.57,121602.57,619511.7205682097,5806171.501478693,41.5,1
1759745762.775,121602.775,619510.5699404428,5806170.814739985,41.45,1
1759745762.977,121602.977,619510.653664936,5806172.534506075,41.49,1
1759745763.179,121603.179,619510.3687132255,5806172.357694664,41.51,1
1759745763.396,121603.396,619512.23,5806169.67,41.49,1
1759745763.598,121603.598,619511.0539792099,5806170.573127089,41.47,1
1759745763.801,121603.801,619511.2884018439,5806171.449381469,41.49,1
1759745764.003,121604.003,619511.4868546161,5806171.469362874,41.48,1
1759745764.205,121604.205,619510.8774092855,5806171.196059327,41.47,1
1759745764.409,121604.409,619510.8613392904,5806171.218439213,41.49,1
1759745764.626,121604.626,619510.9829751427,5806171.179146485,41.48,1
1759745764.83,121604.83,619509.8992425349,5806171.9436190035,41.48,1
1759745765.031,121605.031,619511.1011659622,5806172.666178017,41.48,1
1759745765.231,121605.231,619510.2838470804,5806172.0125729,41.45,1
1759745765.434,121605.434,619510.5409894872,5806171.503550965,41.46,1
1759745765.651,121605.651,619509.7385124107,5806171.003561618,41.46,1
1759745765.854,121605.854,619509.4495390308,5806171.3078828,41.48,1
1759745766.056,121606.056,619510.217735109,5806171.515702829,41.47,1
1759745766.26,121606.26,619509.3856171493,5806171.363513351,41.47,1
1759745766.463,121606.463,619511.0450798309,5806171.3195354305,41.47,1
1759745766.665,121606.665,619509.7847184343,5806171.062978211,41.46,1
1759745766.882,121606.882,619509.375724874,5806170.963859883,41.46,1
1759745767.085,121607.085,619510.2757505974,5806171.600302463,41.48,1
1759745767.288,121607.288,619508.4277433336,5806171.502561251,41.48,1
1759745767.489,121607.489,619509.9907040057,5806170.543172368,41.48,1
1759745767.692,121607.692,619509.6101761813,5806170.325623844,41.47,1
1759745767.894,121607.894,619507.0250506335,5806172.680017399,41.48,1
1759745768.098,121608.098,619508.668129762,5806173.221675952,41.49,1
1759745768.315,121608.315,619506.194929933,5806172.671008815,41.46,1
1759745768.516,121608.516,619506.2350383811,5806172.499417976,41.45,1
1759745768.718,121608.718,619506.221157288,5806172.79577202,41.5,1
1759745768.921,121608.921,619505.7127139333,5806172.835136007,41.47,1
1759745769.123,121609.123,619506.501488975,5806172.495328272,41.47,1
1759745769.341,121609.341,619505.3189831112,5806171.929129327,41.49,1
1759745769.544,121609.544,619507.2,5806172.3100000005,41.48,1
1759745769.744,121609.744,619505.99,5806172.029999999,41.46,1
1759745769.744,121609.744,619507.9354903392,5806171.714094752,41.46,1
1759745769.947,121609.947,619506.9974632262,5806171.3037052415,41.47,1
1759745770.149,121610.149,619506.7474704586,5806171.578780834,41.47,1
1759745770.366,121610.366,619505.9593981513,5806172.455772435,41.47,1
